vendor_id,vendor_name,industry,location,contact_person,quality_score,delivery_score,price_competitiveness,financial_rating,compliance_score,past_disputes,years_in_business,number_of_employees,annual_turnover_cr,certifications,payment_terms,registration_date,last_evaluation_date,blacklisted,overall_score,risk_category
VEN00051,Stellar Manufacturers 671 Ltd,Foundation Engineering,Nagpur,Abhishek Bhatia,80.84,86.25,87.42,95.53,94.01,0,22,852,295.01,ISO 9001,Net 30 days,2021-09-06,2025-10-07,No,83.7805,Medium Risk
VEN00052,Gulbarga Innovations Limited,Port Development,Bangalore,Vikram Rao,77.8,69.86,81.01,72.08,72.22,1,11,57,80.98,ISO 9001,Net 60 days,2024-04-25,2025-10-03,No,70.7725,High Risk
VEN00053,Thane Creations Pvt Ltd,Steel & Metal Fabrication,Visakhapatnam,Rajesh Nair,59.81,56.82,54.38,68.17,63.85,3,16,134,80.02,None,Net 90 days,2014-06-05,2025-02-08,No,57.535000000000004,High Risk
VEN00054,Nanded Builders Inc,Paints & Coatings,Coimbatore,Sumit Sinha,40.65,38.79,45.62,40.92,50.99,7,29,10,7.12,None,Net 60 days,2019-04-14,2025-11-05,No,40.246,High Risk
VEN00055,Summit Asansol Group & Co,Marine Engineering,Salem,Gaurav Singh,64.7,69.16,62.63,68.91,60.2,5,14,106,84.47,None,Net 30 days,2016-12-29,2025-05-10,No,61.963499999999996,High Risk
VEN00056,Vertex Gwalior Creations & Co,Food Processing,Guwahati,Arjun Pandey,49.24,31.51,31.59,47.01,48.76,22,2,42,19.18,None,Net 60 days,2024-05-12,2025-06-23,No,38.9665,High Risk
VEN00057,Velocity Builders & Co,Gas Distribution,Kota,Rahul Chopra,61.81,69.11,59.17,63.29,54.46,6,19,77,82.65,None,Progress Payment,2013-05-10,2025-01-24,No,58.67700000000001,High Risk
VEN00058,Phoenix Platforms & Co,Bridge Engineering,Hyderabad,Naveen Joshi,61.12,54.45,71.72,65.65,62.34,4,24,182,97.46,None,Net 90 days,2021-10-27,2025-03-12,No,59.208999999999996,High Risk
VEN00059,Premier Engineering Ltd,Fire Safety,Belgaum,Pankaj Chopra,65.48,77.46,63.36,64.0,71.23,3,16,175,49.78,None,Net 90 days,2014-06-12,2025-10-11,No,64.70049999999999,High Risk
VEN00060,City Creations Limited,Railway Infrastructure,Saharanpur,Mukesh Sharma,81.66,84.05,95.91,93.06,93.01,1,11,345,53.48,ISO 9001,"Advance 20%, Balance 80%",2018-01-17,2025-08-13,No,84.125,Medium Risk
VEN00061,Bharat Mysore Logistics Pvt Ltd,Automotive Components,Moradabad,Amit Khanna,58.2,58.14,61.41,54.4,47.14,2,11,15,16.23,None,Net 60 days,2019-01-03,2025-04-17,No,53.2405,High Risk
VEN00062,Vertex Logistics Private Limited,Marine Engineering,Aurangabad,Gaurav Chopra,82.03,80.03,71.65,80.57,69.32,5,4,155,55.9,ISO 9001,Letter of Credit,2023-12-24,2025-06-12,No,73.523,High Risk
VEN00063,Srinagar Enterprises Ltd,IT Infrastructure,Dhanbad,Prakash Verma,73.75,64.19,76.1,70.53,75.73,4,15,194,93.17,ISO 14001,Letter of Credit,2011-09-09,2025-01-23,No,67.956,High Risk
VEN00064,Royal Jalandhar Infrastructure & Partners,Dam Engineering,Jalandhar,Mukesh Joshi,56.41,64.16,55.68,62.3,60.67,3,20,172,55.64,None,Letter of Credit,2015-07-24,2025-02-14,No,56.69700000000001,High Risk
VEN00065,Optimal Platforms Limited,Airport Construction,Jamnagar,Prakash Rao,76.17,66.03,73.24,73.77,76.67,3,17,185,25.53,None,"Advance 20%, Balance 80%",2016-01-31,2025-03-15,No,69.33899999999998,High Risk
VEN00066,Chandigarh Projects & Co,HVAC Systems,Hubli-Dharwad,Ankit Rao,63.35,57.43,57.33,61.89,58.46,6,24,188,96.8,None,"Advance 20%, Balance 80%",2019-03-12,2025-06-21,No,56.77,High Risk
VEN00067,Raipur Contractors & Associates,Telecommunication,Visakhapatnam,Manoj Reddy,65.58,61.56,73.07,77.95,78.95,10,3,185,70.34,ISO 14001,Net 45 days,2025-11-01,2025-06-06,No,66.6,High Risk
VEN00068,Madurai Traders & Partners,Interior Design,Faridabad,Sanjay Gupta,83.75,79.26,79.78,82.96,79.57,5,11,178,21.79,ISO 9001,Progress Payment,2016-08-12,2025-01-23,No,77.034,Medium Risk
VEN00069,Sai Ventures & Sons,Airport Construction,Srinagar,Mohit Bhatia,84.66,86.02,82.43,90.42,84.98,0,12,1489,476.21,ISO 9001,Net 90 days,2017-05-16,2025-03-26,No,81.5645,Medium Risk
VEN00070,Meerut Exports Limited,HVAC Systems,Pimpri-Chinchwad,Ashok Sharma,73.33,64.29,79.16,79.26,67.94,1,9,135,91.48,None,Net 45 days,2024-04-14,2025-04-29,No,69.0575,High Risk
VEN00071,Galaxy Platforms Pvt Ltd,Agricultural Machinery,Mysore,Rohan Malhotra,71.74,73.24,69.73,79.58,73.51,1,5,29,35.82,ISO 14001,Progress Payment,2022-01-13,2025-09-28,No,69.935,High Risk
VEN00072,Optimal Consultants 20 Pvt Ltd,Petroleum Infrastructure,Dhanbad,Ravi Gupta,70.74,62.41,65.94,66.2,61.14,3,21,179,51.14,None,"Advance 20%, Balance 80%",2023-06-14,2025-03-28,No,62.319,High Risk
VEN00073,Atlas Group Limited,Electrical Works,Srinagar,Arjun Reddy,79.46,82.27,86.24,76.98,91.2,0,17,1214,278.3,"ISO 9001, ISO 14001",Progress Payment,2017-03-07,2025-04-12,No,78.33100000000002,Medium Risk
VEN00074,Paramount Suppliers Pvt Ltd,Landscaping,Surat,Nitin Malhotra,74.23,73.5,65.45,59.68,69.72,4,27,195,51.82,None,Letter of Credit,2004-06-21,2025-01-19,No,65.269,High Risk
VEN00075,Surat Fabricators & Partners,Wind Energy,Chennai,Dinesh Mehta,87.41,96.33,92.15,96.89,92.43,1,2,1642,341.11,ISO 14001,Net 30 days,2024-02-06,2025-06-22,No,88.1335,Low Risk
VEN00076,Vertex Tiruchirappalli Manufacturers & Partners,Waterproofing,Hubli-Dharwad,Ajay Verma,88.75,82.27,86.78,85.6,75.23,4,27,469,295.46,ISO 9001,"Advance 20%, Balance 80%",2012-09-04,2025-07-05,No,79.863,Medium Risk
VEN00077,Supreme Fabricators & Partners,Paints & Coatings,Kolkata,Nitin Bhatia,39.62,38.65,12.47,29.34,21.12,10,1,14,17.12,None,Letter of Credit,2025-04-28,2025-11-21,No,28.0415,High Risk
VEN00078,Paramount Hubli-Dharwad Systems Pvt Ltd,Solar Energy,Rourkela,Arjun Pandey,79.3,73.42,74.4,78.06,77.22,2,8,332,61.66,ISO 14001,Letter of Credit,2019-08-22,2025-10-09,No,72.76400000000001,High Risk
VEN00079,Dynamic Bhubaneswar Technologies Limited,Landscaping,Ranchi,Abhishek Mehta,86.17,93.32,86.06,80.34,89.85,1,22,811,369.29,ISO 9001,Letter of Credit,2022-05-28,2025-01-16,No,82.611,Medium Risk
VEN00080,Alpha Vasai-Virar Enterprises LLP,IT Infrastructure,Pimpri-Chinchwad,Vijay Iyer,94.23,98.58,96.06,96.66,91.4,1,13,1568,373.49,"ISO 9001, ISO 14001, OHSAS 18001",Progress Payment,2024-04-13,2025-10-05,No,90.67450000000001,Low Risk
VEN00081,Optimal Associates Inc,Fire Safety,Raipur,Deepak Kapoor,71.87,61.2,70.76,53.66,55.03,4,10,62,24.58,None,"Advance 20%, Balance 80%",2017-12-25,2025-08-15,No,59.608,High Risk
VEN00082,India Dhanbad Technologies Inc,Electrical Works,Allahabad,Deepak Sinha,82.51,77.17,89.53,76.94,85.01,5,29,1339,201.93,ISO 9001,Progress Payment,2024-08-31,2025-10-28,No,77.38050000000001,Medium Risk
VEN00083,Orion Rajkot Traders Limited,Scaffolding,Aligarh,Amit Iyer,53.77,45.62,44.24,57.74,48.11,19,3,49,2.14,None,Net 90 days,2023-06-22,2025-05-10,No,47.016999999999996,High Risk
VEN00084,Madurai Consultants Ltd,Power Transmission,Gwalior,Pankaj Tiwari,23.52,34.38,27.01,14.75,18.81,8,9,33,5.71,None,Letter of Credit,2024-11-07,2025-11-13,Yes,22.179000000000002,High Risk
VEN00085,Global Logistics 957 Ltd,Heavy Equipment,Bhavnagar,Pankaj Mehta,67.27,66.95,63.15,57.44,75.88,10,15,81,29.36,None,"Advance 20%, Balance 80%",2024-10-20,2025-07-17,No,62.05,High Risk
VEN00086,City Holdings 442 Pvt Ltd,Cement & Concrete,Pimpri-Chinchwad,Ashok Tiwari,73.37,73.46,81.63,78.45,77.26,3,17,1022,393.98,None,Net 45 days,2011-12-17,2025-01-30,No,72.40799999999999,High Risk
VEN00087,Nexus Projects & Sons,Tile & Marble,Kochi,Rohan Gupta,82.13,74.85,76.32,79.46,81.71,3,5,1341,451.91,ISO 14001,"Advance 20%, Balance 80%",2024-02-25,2025-09-16,No,74.949,High Risk
VEN00088,Stellar Madurai Group Inc,Tunnel Construction,Bhilai,Abhishek Mishra,56.98,63.27,58.84,64.98,62.8,2,20,141,33.9,None,Net 45 days,2011-03-27,2025-02-15,No,58.041000000000004,High Risk
VEN00089,Stellar Corporation Ltd,Aerospace Engineering,Jamshedpur,Sachin Gupta,64.84,67.4,57.21,62.21,61.77,8,23,72,46.93,None,Net 45 days,2004-10-13,2025-11-07,No,59.579,High Risk
VEN00090,Kochi Engineering & Partners,Dam Engineering,Jamshedpur,Sachin Rao,49.53,49.84,52.95,57.56,53.07,13,20,35,4.65,None,Net 60 days,2020-05-29,2025-07-19,No,49.115500000000004,High Risk
VEN00091,Coimbatore Traders & Co,Electrical Works,Mangalore,Ravi Mishra,61.41,73.11,70.35,59.91,56.88,10,13,121,83.65,None,Net 60 days,2022-08-27,2025-07-13,No,60.541,High Risk
VEN00092,Galaxy Platforms & Partners,Steel & Metal Fabrication,Jamnagar,Ashok Tiwari,78.45,84.76,80.97,72.03,79.68,4,8,82,14.57,ISO 9001,Net 90 days,2023-04-30,2025-11-12,No,74.868,High Risk
VEN00093,Dynamic Guntur Enterprises Ltd,Mining Equipment,Mumbai,Kiran Desai,71.84,75.34,77.45,68.07,68.04,0,30,42,68.71,None,Progress Payment,2015-07-10,2025-03-10,No,68.4655,High Risk
VEN00094,Elite Ventures Ltd,Foundation Engineering,Chennai,Vishal Iyer,91.44,82.12,78.09,82.26,87.13,1,10,1030,495.09,"ISO 9001, OHSAS 18001",Net 60 days,2016-05-24,2025-03-25,No,80.46900000000001,Medium Risk
VEN00095,Thane Engineering Ltd,Paints & Coatings,Ambattur,Sumit Sinha,81.39,82.26,78.69,81.72,72.41,5,29,123,84.43,ISO 9001,Net 90 days,2021-08-29,2025-09-05,No,75.55850000000001,Medium Risk
VEN00096,Global Mumbai Suppliers & Associates,Automotive Components,Srinagar,Mohit Joshi,51.09,34.01,49.43,50.36,35.23,8,15,24,4.03,None,Net 30 days,2014-09-01,2025-07-02,No,41.9455,High Risk
VEN00097,Paramount Nanded Services LLP,Plumbing & Sanitation,Pimpri-Chinchwad,Nikhil Gupta,86.82,92.07,95.45,92.96,93.68,0,25,606,356.15,"ISO 9001, ISO 14001","Advance 20%, Balance 80%",2002-03-31,2025-06-06,No,87.08050000000001,Low Risk
VEN00098,Om Imports Inc,Foundation Engineering,Bikaner,Prakash Chopra,69.39,61.14,65.91,66.64,62.08,10,15,34,50.81,None,"Advance 20%, Balance 80%",2014-06-05,2025-05-10,No,61.602000000000004,High Risk
VEN00099,Omega Associates & Co,Landscaping,Belgaum,Amit Shankar,70.53,68.21,73.82,78.25,75.7,0,30,37,98.75,None,Letter of Credit,2013-01-22,2025-05-13,No,69.35249999999999,High Risk
VEN00100,Udaipur Innovations & Associates,Paints & Coatings,Guwahati,Sachin Khanna,54.24,61.61,61.11,58.17,60.91,7,4,16,19.86,None,Progress Payment,2023-09-26,2025-03-13,No,55.469,High Risk
VEN00101,Mumbai Traders Pvt Ltd,Bridge Engineering,Coimbatore,Sumit Pandey,63.52,60.53,65.15,59.04,59.71,3,2,189,47.73,None,Net 30 days,2025-11-22,2025-08-07,No,58.373000000000005,High Risk
VEN00102,Phoenix Builders & Partners,Waste Management,Asansol,Vikram Malhotra,60.32,59.98,72.91,56.76,65.71,6,8,167,38.7,None,Net 60 days,2019-03-26,2025-06-27,No,58.92100000000001,High Risk
VEN00103,Ujjain Group LLP,Landscaping,Bareilly,Mukesh Joshi,100.0,100.0,100.0,98.76,99.44,1,21,1474,221.52,"ISO 9001, ISO 14001",Letter of Credit,2019-03-19,2025-05-30,No,94.61800000000001,Low Risk
VEN00104,Global Logistics LLP,Marine Engineering,Mangalore,Arjun Khanna,61.91,52.06,41.9,44.51,43.57,25,3,33,17.1,None,Net 30 days,2025-06-02,2025-03-09,Yes,46.361999999999995,High Risk
VEN00105,Summit Siliguri Consultants Limited,Waste Management,Kolkata,Anil Mehta,71.66,62.57,62.4,76.37,64.29,2,7,68,96.59,None,Progress Payment,2024-08-15,2025-04-07,No,64.60650000000001,High Risk
VEN00106,Mysore Platforms LLP,Tunnel Construction,Firozabad,Pankaj Reddy,80.22,78.66,82.68,82.43,76.05,5,16,1659,427.88,ISO 9001,Letter of Credit,2016-08-27,2025-11-15,No,75.8325,Medium Risk
VEN00107,Tirunelveli Industries Pvt Ltd,Interior Design,Amritsar,Ankit Reddy,77.7,84.95,79.61,82.09,82.58,2,25,145,96.99,ISO 9001,Net 45 days,2018-05-23,2025-06-11,No,77.06150000000001,Medium Risk
VEN00108,Elite Platforms 981 Inc,Chemical Engineering,Ahmedabad,Suresh Patel,59.04,50.59,60.92,46.25,57.67,5,7,37,9.66,None,Progress Payment,2025-04-05,2025-01-26,No,51.6665,High Risk
VEN00109,Pegasus Corporation Pvt Ltd,Tile & Marble,Firozabad,Ankit Kumar,97.58,95.09,97.24,99.2,96.53,0,4,1980,93.34,None,Net 30 days,2023-12-14,2025-07-25,No,92.3185,Low Risk
VEN00110,Nexus Salem Systems LLP,HVAC Systems,Jammu,Sanjay Reddy,74.94,79.03,77.06,63.74,69.46,4,16,34,67.31,None,Net 90 days,2010-03-05,2025-09-12,No,69.067,High Risk
VEN00111,Orion Exports & Sons,Agricultural Machinery,Nagpur,Suresh Malhotra,93.35,86.76,79.9,80.34,93.96,2,19,1447,64.81,"ISO 9001, OHSAS 18001",Letter of Credit,2012-10-09,2025-09-26,No,82.73649999999999,Medium Risk
VEN00112,Bharat Contractors Ltd,Petroleum Infrastructure,Nellore,Sachin Pandey,52.44,37.66,58.03,51.68,46.32,16,2,11,9.3,None,Letter of Credit,2025-09-22,2025-06-17,No,45.8305,High Risk
VEN00113,Excellence Engineering Pvt Ltd,Elevators & Lifts,Bhubaneswar,Abhishek Malhotra,87.09,91.05,90.75,81.55,90.07,0,23,250,86.92,"ISO 14001, OHSAS 18001",Net 30 days,2008-06-17,2025-06-29,No,83.4155,Medium Risk
VEN00114,Shree Contractors & Partners,Industrial Automation,Chandigarh,Ramesh Singh,76.8,78.5,76.15,70.04,75.29,0,20,173,80.6,ISO 9001,Net 30 days,2016-08-28,2025-05-24,No,71.624,High Risk
VEN00115,Bhavnagar Group Ltd,Steel & Metal Fabrication,Jhansi,Sachin Verma,79.11,72.23,78.17,77.95,78.96,0,12,84,94.98,ISO 9001,Net 45 days,2021-07-21,2025-04-18,No,73.383,High Risk
VEN00116,Shree Mysore Engineering Limited,Tunnel Construction,Solapur,Ajay Khanna,92.17,94.0,80.59,83.55,93.57,0,16,743,129.94,"ISO 9001, OHSAS 18001",Letter of Credit,2011-09-29,2025-04-01,No,84.67649999999999,Medium Risk
VEN00117,Vijayawada Developers & Co,Textile Machinery,Mysore,Rohan Singh,55.73,36.11,50.22,32.44,49.25,11,15,23,16.79,None,Net 90 days,2024-05-21,2025-05-13,No,42.013000000000005,High Risk
VEN00118,Akola Contractors LLP,Chemical Engineering,Dhanbad,Arjun Mishra,79.46,81.84,81.59,80.83,87.05,5,14,1213,66.54,"ISO 9001, ISO 14001",Net 30 days,2013-11-23,2025-02-07,No,77.44500000000001,Medium Risk
